,Ques,Ans
649,Name three types of immunological disorders?,"autoimmune diseases, hypersensitivities, immune deficiency, and transplant rejection"
650,Immunology studies the immune system in which three stages of existence?,"in vitro, in situ, and in vivo"
651,What disciplines in medicine have particularly strong immunology applications?,"organ transplantation, oncology, virology, bacteriology, parasitology, psychiatry, and dermatology"
652,What is the common name for MPEG-2 Audio Layer III?,MP3
653,What kind of audio is the coding format for?,digital
654,"Other than storage, what is the common audio format used for?",consumer audio streaming
655,What does MP3 use to format it's data?,lossy data compression
656,Where will MP3 files most commonly be found?,digital audio players
657,What city did House music originate from?,Chicago
658,What decade did House music first develop?,1980s
659,What year was House music first popularized?,1984
660,What genre does House music fall into?,electronic dance music
661,What song by MARRS was an early House hit in 1987?,"""Pump Up The Volume"""
662,The terms uppercase and lowercase originated from the common layout which type of drawers?,shallow
663,"Besides being a single word or two separate words, how can the words uppercase and lowercase be expressed?",hyphen
664,"In relation to the shelf the small letters were located, where were the capital letters?",located above
665,Which characteristic of capital letters made it easy to remember.,taller
666,What was the name of the nomad tribes that hunted bison?,Jornado
667,Along which river did they hunt bison?,Rio Grande
668,How did the Chichimeca survive?,"hunting, gathering, and farming"
669,The Chichimeca are the ancestors of what people?,Tepehuan
670,The Jornado painted onto what surface?,rock
671,What type of sensation is pitch?,auditory
672,What is pitch closely related to?,frequency
673,Each persons perception of sound is called?,Pitch
674,When did King Richard I begin his reign?,1189
675,Which animal is the main motif of England's national football team?,lions
676,What type of headgear originally appeared on the lions' heads on England's national football team motif?,a crown
677,In which year was the FA given an official coat of arms by the College of Arms?,1949
678,"Since 2003, England has topped their logo with a star to recognize their World Cup win in which year?",1966
679,Where were Augustus Chapman Allen and John Kirby Allen from?,New York
680,How many acres of land did Augustus Chapman Allen and John Kirby Allen purchase in 1836?,"6,642"
681,What was the reason the Allen brothers purchased land in 1836?,founding a city
682,Who did the Allen brothers name the city they founded after?,Sam Houston
683,In what year was Sam Houston elected President of Texas?,1836
684,Who bought land along Buffalo Bayou to build a city?,Allen brothers
685,How much land did the Allen brothers buy?,"6,642 acres"
686,After which famous general was the city named?,Sam Houston
687,In 1860 what percentage of the city's population was slaves?,forty-nine percent
688,How much did the slave population of Houston increase from 1850 to 1860?,tripled
689,Where was copper mostly mined at in the Roman era?,Cyprus
690,What term does the name copper originate from?,сuprum
691,What componds are common in copper?,copper(II) salts
692,What is one color common in copper salts?,blue
693,What is the name of the color pigment on building structures that are made using copper.,green verdigris
694,"Self-image, self-esteem, and individuality relate to what?",A psychological identity
695,What aspect or type of identity does Weinreich single out?,ethnic identity
696,What psychological concept does Weinreich state as between the past and future?,identity
697,A person's identity is defined as the totality of what?,one's self-construal
698,What is the third fastest growing economy in India?,Himachal Pradesh
699,What is Himachal Pradesh ranked in the highest per capita of Indian States?,fourth
700,What enables Himachal to sell hydroelectricity to other states?,Abundance of perennial rivers
701,What three things is the economy of the state dependent on?,"hydroelectric power, tourism, and agriculture"
702,What other Indian states does it sell hydroelectricity to?,"Delhi, Punjab, and Rajasthan"
703,What is nonverbal communication?,conveying meaning in the form of non-word messages
704,What is one example of nonverbal communication?,body language
705,What is an example of a voluntary intent of a message related to nonverbal communication?,shaking a hand
706,What is an example of an involuntary intent of a message related to nonverbal communication?,sweating
707,What percentage of human communication occurs through nonverbal facial expressions?,55%
708,What color are white grapes?,green
709,What gene makes grapes purple?,anthocyanins
710,What shape do grapes usually resemble?,prolate spheroid
711,What type of food are grapes?,fruit
712,How many grapes are generally in a cluster?,15 to 300
713,What must an operator deviate from to harm the computer?,secure procedures
714,What is computer security also known as?,cybersecurity or IT security
715,What is the protection of information systems?,Computer security
716,What are the ways an operator can malpractice?,"intentional, accidental, or due to them being tricked"
717,What is the practice that includes controlling physical access to hardware?,Computer security
718,What is the approach to Judiasm that subscribes to a tradition of mass revelation?,Orthodox
719,What is the name of the book that has the laws and ethics for Orthodox Judaism?,Torah
720,what texts were legislated by the Tanarim and Amoraim?,Talmudic
721,What besides Modern Orthodox Judaism does Orthodox Judaism consist of?,Haredi Judaism
722,Orthodox Judaism is a self-identification that distinguishes it from what?,pre-modern Judaism
723,Where does the word animal come from?,Latin animalis
724,What does the Latin word animalis mean?,"having breath, having soul or living being"
725,The word animal is usually only used to refer to what?,non-human members of the kingdom Animalia
726,The biological definition of the word animal refers to all member of what kingdom?,Animalia
727,What are some of the creatures included in the kingdom of Animalia?,"sponges, jellyfish, insects, and humans"
728,What is the process of making beer called?,brewing
729,What is a building called that is used for making beer?,a brewery
730,What is company that makes beer typically known as? ,a brewing company
731,What is beer classified as when it is made for non-commerical consumption? ,homebrewing
732,In what year was home brewing first allowed in the UK?,1963
733,What word was dropped as a racial classification in this year's census?,Mulatto
734,What were people that had black and white ancestor classified as in this census? ,Negro
735,How were people with both black and American Indian ancestry recorded in this census? ,Neg
736,"What is it called when a mixed race person in recorded as negro in this census, even if only a fraction of their ancestry is black?",one-drop rule
737,Which parent was the deciding factor for how interracial persons were recorded in this census? ,their father
738,What is the US dollar based upon?,a decimal system of values
739,How much monetary value does a dime hold?,one-tenth of a dollar
740,How much was a union going to be worth as proposed in the 1800s?,one hundred dollars
741,What was the maximum value a gold coin used to be able to have?,$20
742,"In what legislation was the term ""eagle"" used?",Coinage Act of 1792
743,When was the Royal College of Chemistry established?,1845
744,Which politicians donated funds to establish the Royal College of Chemistry?,"Benjamin Disraeli, William Gladstone and Robert Peel"
745,Who was the first professor of the Royal College of Chemistry?,August Wilhelm von Hofmann
746,Why was the Royal College of Chemistry founded?,in the United Kingdom the teaching of chemistry in particular had fallen behind that in Germany
747,Who supported the Royal College of Chemistry?,Prince Albert
748,When was the Royal College of Chemistry established?,1845
749,What was not well taught that led to the founding of the Royal College of Chemistry?,practical aspects of the experimental sciences
750,Which country was ahead of the United Kingdom in the teaching of chemistry?,Germany
751,Which Prince supported the establishment of the college?,Prince Albert
752,Who was the first professor of the college?,August Wilhelm von Hofmann
753,What is the maximum length of the runway gymnasts sprint down before hurdling onto a spring board?,25 meters
754,What is blocking using only a shoulder movement called?,punching
755,What is one thing a successful vault depends on?,the length of the hurdle
756,What may be added to a vault before landing in advanced gymnastics?,multiple twists and somersaults
757,What is the maximum length of a runway?,25 meters
758,Who gets to chose where a gymnast starts to run on the runway?,The gymnast
759,What position is the gymnast when in the air?,a standing position
760,What are later added to the landing by advanced gymnasts?,multiple twists and somersaults
761,What do successful vaults depend on other than speed of the run?,"the length of the hurdle, the power the gymnast generates from the legs and shoulder girdle, the kinesthetic awareness in the air, and the speed of rotation"
762,Where did the Duke of Brunswick-Lüneburg move his residence to?,Hanover
763,Who elevated the status of the Dukes of Brunswick-Lüneburg?,Holy Roman Emperor
764,Who confirmed the elevation of the Dukes of Brunswick-Lüneburg in 1708?,Imperial Diet
765,Which other nation would the electors of Hanover become monarchs of?,Great Britain
766,Who was the first elector from Hanover to sit on the British throne?,George I Louis
767,What system of the body is related to emotion's physiology?,nervous
768,What sorts of people are more likely to be emotionally expressive?,Extroverted
769,What type of people hide their emotions?,introverted
770,What is emotion frequently responsible for driving?,motivation
771,"Along with physical changes, what sort of changes do emotions sometimes cause?",psychological
772,How many Copa del Rey trophies has Barcelona won?,27
773,How many UEFA Champions League titles has Barcelona won?,five
774,Barcelona ranked first in the IFFHS Club World Ranking in what years?,"1997, 2009, 2011, 2012 and 2015"
775,How many Inter-Cities Fairs Cup trophies has Barcelona won?,three
776,What position is Barcelona ranked on the UEFA club rankings?,second
777,How many UEFA Championship League titles has Barcelona won?,five
778,How many UEFA  Cup Winners' Cup wins does Barcelona have?,four
779,How many FIFA Club World Cup trophies does football club Barcelona have?,three
780,What club is Barcelona's long time rival?,Real Madrid
781,How many UEFA Super Cup wins does the Barcelona team have?,five
782,When was Everton admitted as a member of the Premier League?,1992
783,What year did Howard Kendall return to manage Everton?,1990
784,Who replaced Howard Kendall as Everton's manager?,Mike Walker
785,What was the score in the first Everton game managed by Joe Royle?,2–0
786,What year did former Everton player Joe Royle take over managing the club?,1994
787,What is the name of the English language's earliest form?,Old English
788,In what parts of Scotland was Old English spoken?,southern and eastern
789,in what historical period was Old English spoken?,the early Middle Ages
790,What people brought Old English to Britain?,Anglo-Saxon settlers
791,What language developed from Old English?,Middle English
792,What type of carrier is the largest?,fleet carrier
793,What capability does a fleet carrier offer?,offensive
794,What purpose were excort carriers developed for?,to provide defense for convoys of ships
795,What were most escort carriers built from?,mercantile hulls
796,What are the soviet aircraft carriers used by Russia actually called?,heavy aviation cruisers
797,When did two whisleblowers allege that Boutris  attempted to ground Southwest Airlines?,2007
798,How many planes did the FAA managers allow to fly in 2006 and 2007 that were overdue for safety inspections?,46
799,How much did the FAA propose to fine Southwest for failing to inspect older planes?,$10.2 million
800,What former chairman of the committee said it's investigation uncovered a pattern of regulatory abuse?,Jim Oberstar
801,How many planes were allowed to be operated commercially although not in compliance with FAA safety regulations?,117
802,In what year did Blackpool and Blackburn become independent unitary authorities?,1998
803,In what year was Simonswood transferred from Knowsley to West Lancashire,1994
804,Which places were added to the new county of Cheshire?,Warrington and Widnes
805,"Where were the boroughs of Liverpool, Knowsley, St Helens and Sefton included?",Merseyside
806,Which parish was transferred from Knowsley to the district of West Lancashire?,Simonswood
807,What era was 250 million to 247 million years ago?,Early Triassic
808,What geologic climate was found in the Early Triassic?,deserts
809,What landmass was still unbroken in the Early Triassic?,Pangaea
810,What percentage of extinction of species had recently happened??,95%
811,What species had evolved after  the extinction and would become the basic predator in the Triassic?,Temnospondyli
812,In what decade was digital telephony transmission made possible?,the 1980s
813,What is the minimum bit rate for compressed video and audio transmission?,128 kilobits/s
814,What is an example of an early form of digital video and audio communication?,the Media space
815,In what form did the first dedicated videoconferencing system appear as?,ISDN networks
816,What company offered the first commercial videoconferencing system?,PictureTel Corp.
817,What does duel dating use to show the date?,two consecutive years
818,What is the Old Style date mean?,Julian calendar
819,What is N.S. stand for?,New Style
820,What are New Style dates?,Gregorian
821,Why use two consecutive year dates?,starting date of the year
822,What Microsoft executive was in charge of 360 development?,J Allard
823,What manufacturer was enlisted to design the 360's graphics processor?,ATI
824,Where did Peter Moor work before being recruited to help on the 360?,Sega of America
825,Original 360 Alpha dev kits used what existing system's hardware?,Apple's Power Mac G5
826,What CPU did the 360 use?,IBM's Xenon processor
827,When did wars between Britain and France in North America start?,1689
828,What was the most important North American conflict between France and Britain called?,Queen Anne's War
829,What French colony did Great Britain conquer in Queen Anne's War?,Acadia
830,When was the final French and Indian War fought?,1754–63
831,What future American founding father fought in the French and Indian War?,George Washington
832,Where was the band Blue Cheer from?,San Francisco
833,What classic song did Blue Cheer cover?,"""Summertime Blues"""
834,What was the hit off Steppenwolf's self-titled debut lp?,"""Born to Be Wild"""
835,What movie featured that Steppenwolf single?,Easy Rider
836,"The lyrics to ""Born To Be Wild"" contain the first reference to what hard rock style?",heavy metal
837,what is the name of the region east of the Rocky Mountains?,"""Great Plains"
838,who brought the term great plains into widespread usage?,Nevin Fenneman's
839,what year was Nevin Fenneman's study?,1916
840,"what was theregion called before ""the great plans""? ",the High Plains
841,What technology is used by night-vision devices?,active near-infrared illumination
842,What discipline uses infrared telescopes to see through molecular clouds?,Infrared astronomy
843,What color shift indicates that space objects date from the early days of the universe?,red
844,What devices are used to observe insulated system heat loss?,Infrared thermal-imaging cameras
845,"Along with industrial and medical, in what applications is infrared radiation used?",scientific
846,What term refers to  the variety and variability of life on Earth?,Biodiversity
847,What types of variations does Biodiversity refer to?,"genetic variation, ecosystem variation, or species variation"
848,What type of biodiversity happens near the equator?,Terrestrial biodiversity
849,Where on Earth is biodiversity the most abundnant?,It is richest in the tropics.
850,Where is sea surface temperature the highest?,along coasts in the Western Pacific
851,What is the ASCII based on?,English alphabet
852,How many specific characters are there in the ASCII code?,128 specified characters
853,How many are non-printing control characters?,33 are non-printing control characters
854,How many characters are printable characters? ,95 printable characters
855,What is the space also known as what?,invisible graphic:223
856,What is the first step in the human digestive system?,the action of mastication (chewing)
857,What is saliva?,a liquid secreted by the salivary glands
858,What is in saliva that starts to digest the starches?,salivary amylase
859,What is the definition of bolus?,"a small, round slurry mass"
860,What is the action of the food morving down the esophagus into the stomach called?,peristalsis
861,What tool did Hoover use to find bootleggers?,wiretapping
862,In what supreme court case was it ruled that FBI wiretaps did not violate the Fourth Amendment?,Olmstead v. United States
863,What Act did Congress pass to outlaw non-consensual phone tapping?,Communications Act of 1934
864,In what case was it ruled that evidence obtained by the FBI via wiretapping was inadmissible in court?,Nardone v. United States
865,What is now necessary to tap someone's telephone?,a warrant
866,Which president was the first to use wiretaps to find bootleggers?,Hoover
867,What case centered around a bootlegger caught through phone tapping?,Olmstead v. United States
868,What did Congress pass to outlaw phone tapping?,Communications Act of 1934
869,What is now required to wire tap a citizen?,a warrant
870,Is a warrant required before or after a wiretap?,beforehand
871,Adolescene is viewed as what?,a transitional period between childhood and adulthood
872,A thorough understanding of adolescence in society depends on what?,"information from various perspectives, including psychology, biology, history, sociology, education, and anthropology."
873,What is the purpose of adolescence?,preparation of children for adult roles.
874,What is the cultural purpose of adolescence?,preparation of children for adult roles
875,What is the transitional period between childhood and adulthood viewed as?,adolescence
876,Is adolescence a period of one transition or multiple transitions?,multiple transitions
877,What transitions occur during puberty in addition to living circumstances?,"education, training, employment and unemployment"
878,What type of land is Antarctica considered to be?,desert
879,What is Antarctica's annual precipitation along the coast?,200 mm (8 in)
880,What is Antarctica's average temperature during the coldest part of the year?,−63 °C (−81 °F)
881,Approximately how many people live throughout the year at research stations across Antarctica?,"anywhere from 1,000 to 5,000"
882,What are some animals native to Antarctica?,"mites, nematodes, penguins, seals and tardigrades"
883,Which continent is the highest in elevation?,Antarctica
884,What is the annual precipitation rate of coastal Antarctica?,200 mm
885,What is the average coldest temperature?,−63 °C
886,What is the coldest recorded temperature?,−89.2 °C
887,Ehat is the vegetation type on Antarctica? ,tundra
888,Who were Mary's parents?,Saint Joachim and Saint Anne
889,How old was Mary when she was consecrated as a virgin?,three years old
890,Who was Mary betrothed to?,Joseph
891,"When she was betrothed to Joseph, approximately how old was Mary?",12–14 years old
892,Where was Mary consecrated as a virgin?,the Temple in Jerusalem
893,What is the second busiest airport in Australia?,Melbourne Airport
894,What is another name Melbourne Airport is called?,Tullamarine Airport
895,What is Melbourne's main metropolitan train terminus called?,Flinders Street Station
896,What is Melbourne's main regional train and coach terminus called?,Southern Cross Station
897,What is Australia's busiest seaport for containerised and general cargo?,the Port of Melbourne
898,What airport serves Melbourne?,Melbourne Airport (also called Tullamarine Airport)
899,What is the main metropolitan train terminus called in Melbourne?,Flinders Street Station
900,What is the main regional train and coach terminus in Melbourne?,Southern Cross Station
901,What city is known to be home to Australia's most extensive freeway network?,Melbourne
902,What country has the world's largest urban tram network?,Australia
903,What passenger airport serves Melbourne?,Melbourne Airport (also called Tullamarine Airport)
904,What is the busiest seaport in Melbourne?,Port of Melbourne
905,What is the name of the main metropolitan train terminus called in Melbourne?,Flinders Street Station
906,Who has the most extensive freeway network?,Australia
907,What is the name of the coach terminus in Melbourne?,Southern Cross Station
908,What is another name for Melborne Airport?,Tullamarine Airport
909,Which airport is the second busiest in Australia?,Melbourne Airport (also called Tullamarine Airport)
910,Which port in Melborne is the busiest seaport for containerised and general cargo?,Port of Melbourne
911,What is Melborne's main metropolitan train terminus?,Flinders Street Station
912,Where is the world's largest urban tram network located?,Melbourne
913,When was John born?,24 December 1166
914,Who did Henry marry?,Eleanor of Aquitaine
915,Who was Henry's ally?,Holy Roman Emperor
916,What hindered the competetive ability of Apple when it was introduced?,expensive
917,Where did Macintosh initially find success in the market?,education and desktop publishing
918,"Which platform, when improved in the 1990's, took market share from Macintosh?",Wintel
919,What type of advantage did Intel's Pentium over Macintosh systems in the 1990's?,performance
920,"Who became the top PC manufacturer in 1994, leaving Apple in 3rd place?",Compaq
921,What is another term for anti-aircraft warfare?,counter-air defence
922,NATO defines anti-aircraft warfare as measures to reduce what?,the effectiveness of hostile air action
923,Barrage balloons are an example of what type of weapons system?,passive measures
924,What is the primary effort been for most countries when it comes to anti-aircraft warfare?,homeland defence
925,What does NATO ascribe naval air defence as?,anti-aircraft warfare
926,Sanskrit is the primary sacred language of which religion?,Hinduism
927,How many scheduled languages are there in present-day India?,22
928,Which Indian state has Sanskrit as its official language?,Uttarakhand
929,"Sanskrit is used as a pkilsosophical language in Hinduism, Buddhism, Jainism and which other religion?",Sikhism
930,Sanskrit is a standardized dialect of which language?,Old Indo-Aryan
931,What language is the sacred language of Hinduism?,Sanskrit
932,"Besides its uses as language of religions, for what other application can Sanskrit be used?",lingua franca
933,Where is Sanskrit usually found?,India
934,From what is Sanskrit an adaption?,Old Indo-Aryan
935,From what language did Sanskrit originate?,Vedic Sanskrit
936,What country is Valencia in?,Spain
937,What is the population of Valencia's urban area?,1.5 million
938,Where does Valencia rank among Spain's largest cities?,third
939,What body of water is Valencia located on?,the Mediterranean Sea
940,What is the city of Valencia the capital of?,the autonomous community of Valencia
941,During which decade did GE start manufacuring computers?,1950s
942,What was the name of GE's major appliance manufacturing plant?,Appliance Park
943,In what year did GE sell its computer division to Honeywell?,1970
944,What division of GE provides computer timesharing services?,GXS
945,What was the name of first business in the world to own a computer?,GE
946,When was the Continental Army created?,14 June 1775
947,Who was the commander of the Continental Army?,George Washington
948,From what country did Friedrich Wilhelm von Steuben come from?,Europe
949,What did Friedrich Wilhelm von Steuben teach the Continental Army?,Prussian tactics and organizational skills
950,Under what Prussian king did the German empire unite as a nation-state?,Wilhelm I
951,What was the date of the Treaty of Frankfurt?,10 May 1871
952,The Treaty of Frankfurt gave Germany which Imperial territory?,Alsace-Lorraine
953,"Following the unification of Germany, who maintained great authority in international affairs for two decades?",Otto von Bismarck
954,Which specific fear was a factor in causing World War I?,another Franco-German war
955,Where in Eritrea did Italian scientists find one of the oldest hominids?,Buya
956,How old was the hominid that was found in Eritrea?,over 1 million years
957,What place in Eritrea is believed to have played a major part in human evolution?,section of the Danakil Depression
958,What possible link is represented by the hominid found in Eritrea?,hominids and the earliest anatomically modern humans
959,What is the importance pertaining to the age of the hominid that was found in Eritrea?,it is the oldest skeletal find of its kind
960,What kind of uranium is sometimes used to shield radioactive materials in containers?,Depleted
961,What is a strong source of radiation that is blocked by depleted uranium?,radium
962,How is depleted uranium used in missile re-entry vehicles?,ballast
963,What trait causes depleted uranium to be used in gyroscopic compasses?,high density
964,What type of alpha emitter is uranium?,weak
965,How were the appointments to the Order of the British Empire made?,"nomination of the self-governing Dominions of the Empire, the Viceroy of India, and the colonial governors"
966,What remained the head of state of the British Empire?,the monarch
967,What evolved as the Commonwealth nominations continued?,Empire
968,Why did the oversea nominations discontinue?,established their own Orders
969,What countries established new orders?,"Order of Australia, the Order of Canada, and the New Zealand Order of Merit"
970,What year did the Enlightenment begin according to French historians?,1715
971,Recent historians begin the period of Enlightenment in the 1620's which was also the start of what revolution?,scientific revolution
972,A variety of movements such as liberalism and neoclassicism's intellectual heritage can be traced back to what period of time?,the Enlightenment.
973,What was the French term for philosophers in the period of Enlightenment?,The Philosophes
974,In what year did Louis XIV die?,1715
975,In what year did the French Revolution begin?,1789
976,In what decade did the scientific revolution begin?,1620s
977,For what do Circadian rhythms let an organism prepare?,environmental changes
978,What can an organism that uses circadian rhythms use to its advantage that others can not?,resources
979,"By better using resources, how does that improve an organism's chances of surviving?",selective advantage
980,By improving what processes does the use of circadian rhythms serve to benefit the individual?,internal metabolic
981,What insect has been studied concerning the inheritability of rhythms?,fruit flies
982,Who is the world's oldest reigning monarch?,Elizabeth
983,Than which queen has Elizabeth ruled longer?,Queen Victoria
984,How is Victoria related to Elizabeth?,great-great-grandmother
985,In what year did Elizabeth pass Victoria's length of rule?,2015
986,In the history of what is Elizabeth the longest reigning queen?,world history
987,What three factors do scientists believe are the cause of sexual orientation?,"genetic, hormonal, and environmental"
988,What is the favored influence as to the cause of sexual orientation?,biologically-based
989,IS there evidence that parenting and/or childhood play a role in determining sexual orientation?,no substantive evidence which suggests parenting or early childhood experiences play a role
990,What is the observed continuum for sexual orientation?,exclusive attraction to the opposite sex to exclusive attraction to the same sex.
991,Do scientists know the cause of sexual orientation?,Scientists do not know the exact cause of sexual orientation
992,What three factors do scientists believe are the cause of sexual orientation?,"genetic, hormonal, and environmental"
993,Do scientists believe that parenting and/or childhood play a role in sexual orientation?,There is no substantive evidence which suggests parenting or early childhood experiences play a role when it comes to sexual orientation
994,What are the two extremes of the continuum of sexual orientation?,exclusive attraction to the opposite sex to exclusive attraction to the same sex.
995,Has science research figured out the cause of sexual orientation preferences?,Scientists do not know the exact cause of sexual orientation
996,What type of theories are favored by scientists studying sexual orientation?,biologically-based theories
997,Do scientist's know what can cause somebodys sexual orientation?,Scientists do not know the exact cause of sexual orientation
998,What can scientifically be considered the main factors in somebodys sexual orientation?,"they believe that it is caused by a complex interplay of genetic, hormonal, and environmental influences."
999,What cannot be considered a factor in sexual orientation due to the lack of evidence?,There is no substantive evidence which suggests parenting or early childhood experiences play a role when it comes to sexual orientation.
1000,What has the research that has been done already show about sexual orientation show?,"has demonstrated that sexual orientation ranges along a continuum, from exclusive attraction to the opposite sex to exclusive attraction to the same sex."
1001,Which ideas do scientist lean towards causing sexual orientation?,"They favor biologically-based theories, which point to genetic factors, the early uterine environment, both, or the inclusion of genetic and social factors"
1002,What number was dell on the Fortune 500 list until 2014?,51
1003,When did Dell go private?,2013
1004,Dell is currently the #1 shipper of what?,PC monitors
1005,In which state is Dell the sixth largest company?,Texas
1006,What PC vendor rank did Dell hold?,third largest
1007,What process begins after a death sentence is handed down at trial?,direct review
1008,"In a direct review, what type of court looks at the record?",appellate
1009,How many possible outcomes are there of a capital sentencing direct review?,three
1010,"In a direct review, what court has its record reviewed by the appellate court?",trial
1011,What percentage of convictions survive direct review?,60
1012,Who attached a Game & Watch D-pad to the Famicom prototype?,Katsuyah Nakawaka
1013,What was installed on the front of the console so the joystick could be used?,15-pin expansion port
1014,Why were the controllers hard-wired to the console with no connectors?,cost reasons
1015,Where were the game pad controllers copied from?,Game & Watch machines
1016,"According to Sergio DellaPergola, what percent of Jews worldwide do Ashkenazi Jews's make up?",74%
1017,During what century did Ashkenazi Jews make up around three percent of the Jewish population worldwide?,11th century
1018,Prior to which major event were there approximately 16.7 million Jews in the world?,Holocaust
1019,During what year did Ashkenazi Jews account for 92 percent of Jews worldwide?,1931
1020,"By 1931, what percentage of the world’s Jews were Ashkenazi Jews?",92 percent
1021,How many Jews were there in the world just prior to the Holocaust?,16.7 million
1022,"From the 11th century until 1931, the population of Ashkenazi Jews grew by what percent?","three percent of the world's Jewish population, while at their peak in 1931 they accounted for 92 percent"
1023,Who made rough calculations and implied that Ashkenazi Jews make up less than 74% of the Jewish population worldwide?,Sergio DellaPergola
1024,The present-day population of Ashkenazi Jews is thought to be between which two numbers?,10 million and 11.2 million
1025,Who was the twentieth bishop of Alexandria?,Saint Athanasius of Alexandria
1026,What was one nickname for Saint Athanasius of Alexandria?,Athanasius the Great
1027,For how many years was Saint Athanasius of Alexandria a bishop?,45 years
1028,How many years was Saint Athanasius of Alexandria in exile?,17
1029,When did Saint Athanasius die?,2 May 373
1030,What name is Saint Athanasius also known as?,Athanasius the Great
1031,Of what city was he bishop?,Alexandria
1032,How long did his episcopate last?,45 years
1033,What is another name that Saint Athanasius is know as?,Athanasius the Confessor
1034,To what golden event was Seattle the portal?,Klondike Gold Rush
1035,Which large technology giant established its home base in Seattle?,Microsoft
1036,In what area was the Klondike Gold Rush located?,Alaska
1037,What was Seattle's first primary money maker?,Logging
1038,What was the airplane company that helped Seattle return to economic stability? ,Boeing
1039,Which three processes does phychology recognize as memory?,"process in which information is encoded, stored, and retrieved."
1040,Why may some memory retrieval processes fail?,"the type of information, and other attempts to remember stored information may be more demanding for various reasons."
1041,What happens to information during the encoding process?,g allows information from the outside world to be sensed in the form of chemical and physical stimuli.
1042,What is the second memory stage?,Storage
1043,What is the third process that happens during the memory process?,retrieval of information that has been stored
1044,When was the first federal population census taken in the US?,1790
1045,What were the two categories for race in the census?,"white or ""other."""
1046,Who all was identified by name in the house holds?,Only the heads of households
1047,What were Indians categorized as after they were included as others?,"""Free people of color"""
1048,When was the first US federal population census taken?,"In 1790, the first federal population census was taken in the United States"
1049,How were enumerators instructed to classify residents?,". Enumerators were instructed to classify free residents as white or ""other."""
1050,Was every resident listed by name?,Only the heads of households were identified by name in the federal census until 1850.
1051,when did any changes to counting procedures  happen?,until the Civil War and end of slavery.
1052,Were all residents counted together or separately?,Slaves were counted separately from free persons
1053,When did the US begin to take census?,1790
1054,At what point were all members of the household named on a census?,1850
1055,What does mulatto mean?,visible European ancestry in addition to African
1056,"Who were considered ""free people of color""?",Native Americans
1057,Where would a Native American live to not be counted in the census?,Indian reservations
1058,Who identified the active substance?,John Abel
1059,Who developed the method to obtain epinephrine in a pure state?,Jokichi Takamine
1060,Who marketed epinephrine?,Parke Davis
1061,What trade name was epinephrine marketed under?,Adrenalin
1062,"As an inhaler, what was epinephrine used to treat?",nasal congestion
1063,Who developed the method to get epinephrine in it's pure form?,Jokichi Takamine
1064,What could epinephrine treat?,nasal congestion
1065,When did epinephrine stop being available in the United States?,2011
1066,What trade name was epinephrine marketed under?,Adrenalin
1067,In what year was epinephrine discovered?,1897
1068,What was the trade name of epinephrine?,Adrenalin
1069,Who first discovered epinephrine?,John Abel
1070,What is epinephrine used to treat?,asthma attacks
1071,In what year was Primatene Mist no longer sold in the United States?,2011
1072,In what year CE did the Second Muslim Civil War end?,692
1073,During what period did the Berber Revolt occur?,740–743 CE
1074,What branch took over Umayyad leadership during the Second Civil War?,Marwanid
1075,What is another term for asphalt?,bitumen
1076,"Besides occurrences in Canada, where in the US is asphalt found?",Utah
1077,How much of the planet's asphalt is located in Canada?,most
1078,What is the area amount of the Canadian asphalt deposits?,"142,000 square kilometres"
1079,Where does most of Canada's asphalt end up these days?,oil refineries
1080,Who did Victoria marry?,Prince Albert
1081,What is her nickname that she was given because her children married into royal families across the continent?,the grandmother of Europe
1082,"In the later half of her reign, what happened to her popularity?",her popularity recovered
1083,What year did Prince Albert die?,1861
1084,How many children did she have?,nine
1085,How many children did Queen Victoria and Prince Albert have?,nine
1086,What was the year of Alberts death?,1861
1087,Queen Victorias Golden and Diamond jubilees were a time of public what?,celebration
1088,What was the name the first cousing that Victoria married?,Prince Albert of Saxe-Coburg and Gotha
1089,What was the nickname given to Queen Victoria because all of her children married into noble families?,first cousin
1090,What was the name of the first cousin that Queen Victoria was married to?,Prince Albert of Saxe-Coburg and Gotha
1091,Whatyear did Victoria marry Prince Albert?,1840
1092,How many children did Victoria and Albert have?,nine
1093,What year did Prince Albert die?,1861
1094,"Due to Victorias mourning over Alberts death, what political party gained strength?",republicanism
1095,When did Queen Victoria get married?,1840
1096,What was the name of Victoria's husband?,Prince Albert
1097,What was Queen Victoria's nickname?,the grandmother of Europe
1098,When did republicanism gain strength during Queen Victoria's reign?,After Albert's death in 1861
1099,How many children did Queen Victoria and Prince Albert have?,nine
1100,Who did Victoria marry?,Prince Albert of Saxe-Coburg and Gotha
1101,When were Victoria and Prince Albert married?,1840
1102,How many children did Victoria and Prince Albert have?,nine
1103,What was Victoria's unofficial title?,the grandmother of Europe
1104,When did Prince Albert die?,1861
1105,What concept determines relationships between Grand Lodges?,Recognition
1106,"What must two lodges be in, in order to inter-visit?",amity
1107,"What, besides Recognition, must happen between two Grand Lodges in order for them to be considered in amity? ",Masonic communication
1108,What can be causes of one Grand Lodge withdrawing Recognition from another?,Exclusive Jurisdiction and Regularity
1109,What are the members of a Grand Lodge called?,brethren
1110,Gran Lodges are in what when they are in Masonic Communication with each other?,amity
1111,What concept is used to determine relations between Grand Lodges?,Recognition
1112,What does each Grand Lodge maintain?,a list
